short_name,long_name,nationality,club
Yeray,Yeray Álvarez López,Spain,Athletic Club de Bilbao
Loren,Lorenzo Morón García,Spain,Real Betis
R. Rodríguez,Ricardo Rodríguez,Switzerland,Milan
A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,England,Liverpool
Campaña,José Ángel Gómez Campaña,Spain,Levante UD
A. Mandi,Aïssa Mandi,Algeria,Real Betis
Deulofeu,Gerard Deulofeu Lázaro,Spain,Watford
Bernat,Juan Bernat Velasco,Spain,Paris Saint-Germain
E. Andrada,Esteban Andrada,Argentina,Boca Juniors
M. Keane,Michael Keane,England,Everton
J. Quintero,Juan Fernando Quintero,Colombia,River Plate
Samu Castillejo,Samuel Castillejo Azuaga,Spain,Milan
W. Benítez,Walter Benítez,Argentina,OGC Nice
A. Rebić,Ante Rebić,Croatia,Eintracht Frankfurt
E. Bailly,Eric Bailly,Ivory Coast,Manchester United
M. Almirón,Miguel Almirón,Paraguay,Newcastle United
M. Lazzari,Manuel Lazzari,Italy,Lazio
M. Lanzini,Manuel Lanzini,Argentina,West Ham United
J. Zoet,Jeroen Zoet,Netherlands,PSV
M. Ryan,Mathew Ryan,Australia,Brighton & Hove Albion
Sergi Gómez,Sergi Gómez Solà,Spain,Sevilla FC
H. Vanaken,Hans Vanaken,Belgium,Club Brugge KV
M. Hinteregger,Martin Hinteregger,Austria,Eintracht Frankfurt
M. Nastasić,Matija Nastasić,Serbia,FC Schalke 04
Gabriel,Gabriel Appelt Pires,Brazil,SL Benfica
C. Wilson,Callum Wilson,England,Bournemouth
J. Guilavogui,Josuha Guilavogui,France,VfL Wolfsburg
D. Klaassen,Davy Klaassen,Netherlands,SV Werder Bremen
P. Kadeřábek,Pavel Kadeřábek,Czech Republic,TSG 1899 Hoffenheim
C. Kramer,Christoph Kramer,Germany,Borussia Mönchengladbach
Iñigo Martínez,Íñigo Martínez Berridi,Spain,Athletic Club de Bilbao
Portu,Cristian Portugués Manzanera,Spain,Real Sociedad
Manu Trigueros,Manuel Trigueros Muñoz,Spain,Villarreal CF
H. Çalhanoğlu,Hakan Çalhanoğlu,Turkey,Milan
M. Dabbur,Moanes Dabour,Israel,Sevilla FC
M. Halstenberg,Marcel Halstenberg,Germany,RB Leipzig
M. Vecino,Matias Vecino,Uruguay,Inter
M. Dúbravka,Martin Dúbravka,Slovakia,Newcastle United
M. Dmitrović,Marko Dmitrović,Serbia,SD Eibar
Joaquín,Joaquín Sánchez Rodríguez,Spain,Real Betis
W. Rooney,Wayne Mark Rooney,England,DC United
Moyá,Miguel Ángel Moyá Rumbo,Spain,Real Sociedad
Nani,Luís Carlos Almeida da Cunha,Portugal,Orlando City SC
J. Mascherano,Javier Alejandro Mascherano,Argentina,Hebei China Fortune FC
Diego López,Diego López Rodríguez,Spain,RCD Espanyol
I. Akinfeev,Igor Akinfeev,Russia,PFC CSKA Moscow
A. Gignac,André-Pierre Gignac,France,Tigres U.A.N.L.
Jorge Molina,Jorge Molina Vidal,Spain,Getafe CF
B. Costil,Benoît Costil,France,FC Girondins de Bordeaux
L. Perrin,Loïc Perrin,France,AS Saint-Étienne
B. Foster,Ben Foster,England,Watford
T. Heaton,Tom Heaton,England,Aston Villa
S. Mandanda,Steve Mandanda,France,Olympique de Marseille
Charles,Charles Dias De Oliveira,Brazil,SD Eibar
S. Radu,Ştefan Daniel Radu,Romania,Lazio
D. Rose,Danny Rose,England,Tottenham Hotspur
E. Lamela,Erik Lamela,Argentina,Tottenham Hotspur
Raúl García,Raúl García Escudero,Spain,Athletic Club de Bilbao
Naldo,Ronaldo  Aparecido Rodrigues,Brazil,AS Monaco
D. Wass,Daniel Wass,Denmark,Valencia CF
S. Romero,Sergio Germán Romero,Argentina,Manchester United
Pedro León,Pedro León Sánchez Gil,Spain,SD Eibar
I. Piatti,Ignacio Piatti,Argentina,Montreal Impact
D. Ospina,David Ospina Ramírez,Colombia,Napoli
M. Díaz,Marcelo Alfonso Díaz Rojas,Chile,Racing Club
M. Valbuena,Mathieu Valbuena,France,Olympiacos CFP
L. Bender,Lars Bender,Germany,Bayer 04 Leverkusen
S. Bender,Sven Bender,Germany,Bayer 04 Leverkusen
E. Capoue,Etienne Capoue,France,Watford
Antunes,Vitorino Gabriel  Pacheco Antunes,Portugal,Getafe CF
R. Fährmann,Ralf Fährmann,Germany,Norwich City
F. Fazio,Federico Julián Fazio,Argentina,Roma
M. Hasebe,長谷 部誠,Japan,Eintracht Frankfurt
Sidnei,Sidnei Rechel da Silva Júnior,Brazil,Real Betis
D. Perotti,Diego Perotti,Argentina,Roma
L. Pratto,Lucas David Pratto,Argentina,River Plate
S. Feghouli,Sofiane Feghouli,Algeria,Galatasaray SK
K. Trippier,Kieran Trippier,England,Atlético Madrid
M. Musacchio,Mateo Pablo Musacchio,Argentina,Milan
Y. M'Vila,Yann Gérard M'Vila,France,AS Saint-Étienne
L. Stindl,Lars Stindl,Germany,Borussia Mönchengladbach
F. Smolov,Fyodor Smolov,Russia,Lokomotiv Moscow
S. Nzonzi,Steven N'Kemboanza Mike Christopher Nzonzi,France,Galatasaray SK
F. Coquelin,Francis Coquelin,France,Valencia CF
Hulk,Givanildo Vieira de Souza,Brazil,Shanghai SIPG FC
K. Strootman,Kevin Strootman,Netherlands,Olympique de Marseille
C. Smalling,Chris Smalling,England,Manchester United
K. Glik,Kamil Glik,Poland,AS Monaco
E. Salvio,Eduardo Antonio Salvio,Argentina,Boca Juniors
D. Subašić,Danijel Subašić,Croatia,AS Monaco
K. Vogt,Kevin Vogt,Germany,TSG 1899 Hoffenheim
R. Pereyra,Roberto Pereyra,Argentina,Watford
Y. Belhanda,Younès Belhanda,Morocco,Galatasaray SK
Sergi Enrich,Sergio Enrich Ametller,Spain,SD Eibar
D. Lovren,Dejan Lovren,Croatia,Liverpool
S. Verdi,Simone Verdi,Italy,Napoli
L. Muriel,Luis Fernando Muriel Fruto,Colombia,Atalanta
D. Vida,Domagoj Vida,Croatia,Beşiktaş JK
Ibai Gómez,Ibai Gómez Pérez,Spain,Athletic Club de Bilbao
S. Berghuis,Steven Berghuis,Netherlands,Feyenoord
Cristian Tello,Cristian Tello Herrera,Spain,Real Betis
Ismaily,Ismaily Gonçalves dos S.,Brazil,Shakhtar Donetsk
F. Ghoulam,Faouzi Ghoulam,Algeria,Napoli
S. Sané,Salif Sané,Senegal,FC Schalke 04
S. Zaza,Simone Zaza,Italy,Torino
S. Vrsaljko,Šime Vrsaljko,Croatia,Atlético Madrid
Pozuelo,Alejandro Pozuelo Melero,Spain,Toronto FC
R. Jiménez,Raúl Alonso Jiménez Rodríguez,Mexico,Wolverhampton Wanderers
Bernard,Bernard  Anício Caldeira Duarte,Brazil,Everton
T. Stepanenko,Taras Stepanenko,Ukraine,Shakhtar Donetsk
F. Armani,Franco Armani,Argentina,River Plate
I. Marcone,Iván Marcone,Argentina,Boca Juniors
Jony,Jonathan Rodríguez Menéndez,Spain,Lazio
Mata,Jaime Mata Arnaiz,Spain,Getafe CF
M. Marega,Moussa Marega,Mali,FC Porto
Everton Andrão,Everton Jorge Andrade Zanon,Brazil,Fluminense
Welington Dano,Welington Kauê Dano Nascimento,Brazil,Cruzeiro
J. Serendero,Jorge Ezequiel Serendero,Uruguay,Uruguay
M. Baldona,Matías David Baldona,Uruguay,Uruguay
M. Nérez,Mauro Evidio Nérez,Uruguay,Uruguay
Vinícius Jr.,Vinícius José de Oliveira Júnior,Brazil,Real Madrid
R. Bentancur,Rodrigo Bentancur Colmán,Uruguay,Juventus
Lucas Paquetá,Lucas Tolentino Coelho de Lima,Brazil,Milan
A. Wan-Bissaka,Aaron Wan-Bissaka,England,Manchester United
A. Lafont,Alban Lafont,France,FC Nantes
I. Konaté,Ibrahima Konaté,France,RB Leipzig
Merino,Mikel Merino Zazón,Spain,Real Sociedad
S. Berge,Sander Berge,Norway,KRC Genk
L. Pellegrini,Lorenzo Pellegrini,Italy,Roma
F. Chiesa,Federico Chiesa,Italy,Fiorentina
Dani Olmo,Daniel Olmo Carvajal,Spain,Dinamo Zagreb
R. Zobnin,Roman Zobnin,Russia,Spartak Moscow
A. Saint-Maximin,Allan Saint-Maximin,France,Newcastle United
C. Pavón,Cristian David Pavón,Argentina,LA Galaxy
T. Kehrer,Thilo Kehrer,Germany,Paris Saint-Germain
C. Pulisic,Christian Pulisic,United States,Chelsea
F. Kessié,Franck Yannick Kessié,Ivory Coast,Milan
A. Hakimi,Achraf Hakimi Mouh,Morocco,Borussia Dortmund
D. Samassékou,Diadie Samassékou,Mali,TSG 1899 Hoffenheim
Marc Roca,Marc Roca Junqué,Spain,RCD Espanyol
D. Zagadou,Dan-Axel Zagadou,France,Borussia Dortmund
V. Tsygankov,Viktor Tsygankov,Ukraine,Dynamo Kyiv
De Tomás,Raúl de Tomás Gómez,Spain,SL Benfica
R. Loftus-Cheek,Ruben Loftus-Cheek,England,Chelsea
S. Lobotka,Stanislav Lobotka,Slovakia,RC Celta
J. Denayer,Jason Denayer,Belgium,Olympique Lyonnais
L. Klostermann,Lukas Klostermann,Germany,RB Leipzig
A. Golovin,Alexandr Golovin,Russia,AS Monaco
A. Diallo,Abdou Diallo,France,Paris Saint-Germain
B. Pavard,Benjamin Pavard,France,FC Bayern München
M. Rashica,Milot Rashica,Kosovo,SV Werder Bremen
B. Chilwell,Ben Chilwell,England,Leicester City
Wesley,Wesley Moraes Ferreira da Silva,Brazil,Aston Villa
T. Souček,Tomáš Souček,Czech Republic,SK Slavia Praha
Junior Firpo,Héctor Junior Firpo Adamés,Spain,FC Barcelona
J. Ward-Prowse,James  Ward-Prowse,England,Southampton
A. Januzaj,Adnan Januzaj,Belgium,Real Sociedad
Otávio,Otávio Edmilson da Silva Monteiro,Brazil,FC Porto
N. Stark,Niklas Stark,Germany,Hertha BSC
A. Iwobi,Alex Iwobi,Nigeria,Everton
J. Gbamin,Jean-Philippe Gbamin,Ivory Coast,Everton
Munir,Munir El Haddadi,Spain,Sevilla FC
Angeliño,José Ángel Esmoris Tasende,Spain,Manchester City
J. Maddison,James Maddison,England,Leicester City
André Silva,André Miguel Valente da Silva,Portugal,Milan
Richarlison,Richarlison de Andrade,Brazil,Everton
S. Nakajima,中島 翔哉,Japan,FC Porto
Raphinha,Raphael Dias Belloli,Brazil,Sporting CP
E. Dier,Eric Dier,England,Tottenham Hotspur
L. Trossard,Leandro Trossard,Belgium,Brighton & Hove Albion
Jonny,Jonathan Castro Otto,Spain,Wolverhampton Wanderers
M. Sanson,Morgan Sanson,France,Olympique de Marseille
J. Lerma,Jefferson Andrés Lerma Solís,Colombia,Bournemouth
L. Dubois,Léo Dubois,France,Olympique Lyonnais
F. Grillitsch,Florian Grillitsch,Austria,TSG 1899 Hoffenheim
L. Cabrera,Leandro Cabrera,Uruguay,Getafe CF
R. Barkley,Ross Barkley,England,Chelsea
J. Murillo,Jeison Fabián Murillo Cerón,Colombia,Sampdoria
J. Tarkowski,James Tarkowski,England,Burnley
L. Karius,Loris Karius,Germany,Beşiktaş JK
N. Pope,Nick Pope,England,Burnley
J. Brooks,John Anthony Brooks,United States,VfL Wolfsburg
M. Batshuayi,Michy Batshuayi Tunga,Belgium,Chelsea
M. Arnold,Maximilian Arnold,Germany,VfL Wolfsburg
S. Kolašinac,Sead Kolašinac,Bosnia Herzegovina,Arsenal
F. Schär,Fabian Schär,Switzerland,Newcastle United
Ricardo Horta,Ricardo Jorge da Luz Horta,Portugal,SC Braga
L. Alario,Lucas Alario,Argentina,Bayer 04 Leverkusen
Mariano,Mariano Díaz Mejía,Dominican Republic,Real Madrid
R. Aguilar,Ruben Aguilar,France,AS Monaco
F. Balbuena,Fabián Balbuena,Paraguay,West Ham United
S. Mustafi,Shkodran Mustafi,Germany,Arsenal
G. Pezzella,Germán Alejandro Pezzella,Argentina,Fiorentina
D. da Costa,Danny  Vieira da Costa,Germany,Eintracht Frankfurt
W. Boly,Willy Boly,France,Wolverhampton Wanderers
B. Davies,Ben Davies,Wales,Tottenham Hotspur
Fred,Frederico R. de Paula Santos,Brazil,Manchester United
M. Samatta,Mbwana Ally Samatta,Tanzania,KRC Genk
Diego Carlos,Diego Carlos Santos Silva,Brazil,Sevilla FC
K. Toko-Ekambi,Karl Brillant Toko Ekambi,Cameroon,Villarreal CF
A. Lunev,Andrey Lunev,Russia,Russia
R. Malinovskyi,Ruslan Malinovskyi,Ukraine,Atalanta
M. Sakho,Mamadou Sakho,France,Crystal Palace
J. King,Joshua King,Norway,Bournemouth
H. Seferović,Haris Seferović,Switzerland,SL Benfica
Laguardia,Víctor Laguardia Cisneros,Spain,Deportivo Alavés
P. Jones,Phil Jones,England,Manchester United
S. Aurier,Serge Aurier,Ivory Coast,Tottenham Hotspur
L. Spinazzola,Leonardo Spinazzola,Italy,Roma
K. Lala,Kenny Lala,France,RC Strasbourg Alsace
S. Arias,Santiago Arias Naranjo,Colombia,Atlético Madrid
D. Baselli,Daniele Baselli,Italy,Torino
T. Savanier,Téji Savanier,France,Montpellier HSC
Leo Baptistao,Leonardo Carrilho Baptistão,Brazil,Wuhan Zall
J. Veltman,Joël Veltman,Netherlands,Ajax
D. Zappacosta,Davide Zappacosta,Italy,Chelsea
Wu Lei,武磊,China PR,RCD Espanyol
David Villa,David Villa Sánchez,Spain,Vissel Kobe
B. Yılmaz,Burak Yılmaz,Turkey,Beşiktaş JK
A. Mirante,Antonio Mirante,Italy,Roma
S. Kalou,Salomon Armand Magloire Kalou,Ivory Coast,Hertha BSC
Dante,Dante Bonfim da Costa Santos,Brazil,OGC Nice
M. Debuchy,Mathieu Debuchy,France,AS Saint-Étienne
E. Lavezzi,Ezequiel Iván Lavezzi,Argentina,Hebei China Fortune FC
Borja Valero,Borja Valero Iglesias,Spain,Inter
M. Škrtel,Martin Škrtel,Slovakia,Atalanta
J. Evans,Jonny Evans,Northern Ireland,Leicester City
D. Valeri,Diego Hernán Váleri,Argentina,Portland Timbers
N. Moisander,Niklas Moisander,Finland,SV Werder Bremen
D. Criscito,Domenico Criscito,Italy,Genoa
A. Candreva,Antonio Candreva,Italy,Inter
Marcano,Iván Marcano Sierra,Spain,FC Porto
K. Boateng,Kevin-Prince Boateng,Ghana,Fiorentina
A. Fernández,Augusto Matías Fernández,Argentina,Beijing Renhe FC
N. Guzmán,Nahuel Ignacio Guzmán,Argentina,Tigres U.A.N.L.
Nacho Monreal,Ignacio Monreal Eraso,Spain,Arsenal
Ángel,Ángel Luís Rodríguez Díaz,Spain,Getafe CF
Granero,Esteban Félix Granero Molina,Spain,RCD Espanyol
Éder,Éder Citadin Martins,Italy,Jiangsu Suning FC
R. Vormer,Ruud Vormer,Netherlands,Club Brugge KV
S. Coleman,Séamus Coleman,Republic of Ireland,Everton
A. Lallana,Adam David Lallana,England,Liverpool
A. Modeste,Anthony Modeste,France,1. FC Köln
M. Gradel,Max-Alain Gradel,Ivory Coast,Toulouse Football Club
Yuri Berchiche,Yuri Berchiche Izeta,Spain,Athletic Club de Bilbao
Mariano,Mariano Ferreira Filho,Brazil,Galatasaray SK
O. Toprak,Ömer Toprak,Turkey,SV Werder Bremen
N. Kalinić,Nikola Kalinić,Croatia,Atlético Madrid
C. Stuani,Cristhian Ricardo Stuani Curbelo,Uruguay,Girona FC
S. Ulreich,Sven Ulreich,Germany,FC Bayern München
K. Asamoah,Kwadwo Asamoah,Ghana,Inter
Alex Teixeira,Alex Teixeira dos Santos,Brazil,Jiangsu Suning FC
S. Lulić,Senad Lulić,Bosnia Herzegovina,Lazio
S. Rondón,José Salomón Rondón Giménez,Venezuela,Dalian YiFang FC
S. Kagawa,香川 真司,Japan,Real Zaragoza
J. Wilshere,Jack Wilshere,England,West Ham United
Guaita,Vicente Guaita Panadero,Spain,Crystal Palace
Cote,José Ángel Valdés Díaz,Spain,SD Eibar
Iago Falqué,Iago Falqué Silva,Spain,Torino
J. Pastore,Javier Matías Pastore,Argentina,Roma
Maicon,Maicon Pereira Roque,Brazil,Al Nassr
F. Orellana,Fabián Orellana,Chile,SD Eibar
Elkeson,艾克森,Brazil,Guangzhou Evergrande Taobao FC
Kike García,Enrique García Martínez,Spain,SD Eibar
Escudero,Sergio Escudero Palomo,Spain,Sevilla FC
Mario Gaspar,Mario Gaspar Pérez Martínez,Spain,Villarreal CF
Herrerín,Iago Herrerín Buisán,Spain,Athletic Club de Bilbao
Víctor Ruiz,Víctor Ruíz Torre,Spain,Beşiktaş JK
I. Belfodil,Ishak Belfodil,Algeria,TSG 1899 Hoffenheim
A. Yarmolenko,Andriy Yarmolenko,Ukraine,West Ham United
W. Khazri,Wahbi Khazri,Tunisia,AS Saint-Étienne
E. Pérez,Enzo Pérez,Argentina,River Plate
D. Caligiuri,Daniel Caligiuri,Italy,FC Schalke 04
Danilo,Danilo Luiz da Silva,Brazil,Juventus
N. Pallois,Nicolas Pallois,France,FC Nantes
Vitolo,Víctor Machín Pérez,Spain,Atlético Madrid
M. Badelj,Milan Badelj,Croatia,Fiorentina
C. Tătărușanu,Anton Ciprian Tătărușanu,Romania,Olympique Lyonnais
Zé Luís,José Luís Mendes Andrade,Cape Verde,FC Porto
D. Suárez,Damián Nicolás Suárez Suárez,Uruguay,Getafe CF
Roque Mesa,Roque Mesa Quevedo,Spain,CD Leganés
Mário Rui,Mário Rui Silva Duarte,Portugal,Napoli
T. Inui,乾 貴士,Japan,SD Eibar
D. Cheryshev,Denis Cheryshev,Russia,Valencia CF
C. Bacca,Carlos Arturo Bacca Ahumada,Colombia,Villarreal CF
A. Samaris,Andreas Samaris,Greece,SL Benfica
J. Hector,Jonas Hector,Germany,1. FC Köln
Rubén Peña,Rubén Peña Jiménez,Spain,Villarreal CF
A. Hamdallah,Abderrazak Hamdallah,Morocco,Al Nassr
D. Benedetto,Darío Benedetto,Argentina,Olympique de Marseille
L. Sigali,Leonardo Sigali,Argentina,Racing Club
Raúl,Raúl Michel Melo da Silva,Brazil,SC Braga
Petros,Petros Matheus dos Santos Araujo,Brazil,Al Nassr
Dyego Sousa,Dyego Wilverson Ferreira Sousa,Portugal,Shenzhen FC
Soares,Francisco das Chagas Soares dos Santos,Brazil,FC Porto
Rubén Alcaraz,Rubén Alcaraz Jiménez,Spain,Real Valladolid CF
Maikel Catarino,Maikel Renan Catarino Fagundes,Brazil,Atlético Mineiro
Antônio Chiamuloira,A. Benjamin Chiamuloira Paes,Brazil,Internacional
Melvin Parrela,Melvin Luan Parrela Porfírio,Brazil,CSA - AL
Gabri Prestão,Bernard Gabriel Prestão Chaves,Brazil,Internacional
Luimo Boas Santos,Luan Vágner Boas Macedo,Brazil,Santos
D. Lenzado,Daniel Martín Lenzado,Uruguay,Uruguay
E. Riquero,Enzo Martín Riquero,Uruguay,Uruguay
L. Sáreda,Leandro Miguel Sáreda,Uruguay,Uruguay
E. Aguerro,Enzo Manuel Aguerro,Uruguay,Uruguay
A. Meret,Alex Meret,Italy,Napoli
I. Sarr,Ismaïla Sarr,Senegal,Watford
D. Rice,Declan Rice,England,West Ham United
F. Neuhaus,Florian Neuhaus,Germany,Borussia Mönchengladbach
M. Zaracho,Matías Zaracho,Argentina,Racing Club
Ferro,Francisco Reis Ferreira,Portugal,SL Benfica
J. Andersen,Joachim Andersen,Denmark,Olympique Lyonnais
D. Zakaria,Denis Lemi Zakaria Lako Lado,Switzerland,Borussia Mönchengladbach
I. Diop,Issa Diop,France,West Ham United
H. Onyekuru,Henry Onyekuru,Nigeria,AS Monaco
J. Ikoné,Nanitamo Jonathan Ikoné,France,LOSC Lille
C. Ünder,Cengiz Ünder,Turkey,Roma
M. Ødegaard,Martin Ødegaard,Norway,Real Sociedad
J. Bamba,Jonathan Bamba,France,LOSC Lille
N. Amiri,Nadiem Amiri,Germany,Bayer 04 Leverkusen
O. Zinchenko,Oleksandr Zinchenko,Ukraine,Manchester City
J. Mateta,Jean-Philippe Mateta,France,1. FSV Mainz 05
O. Yokuşlu,Okay Yokuşlu,Turkey,RC Celta
B. Cristante,Bryan Cristante,Italy,Roma
L. Dendoncker,Leander Dendoncker,Belgium,Wolverhampton Wanderers
M. Dahoud,Mahmoud Dahoud,Germany,Borussia Dortmund
N. Elvedi,Nico Elvedi,Switzerland,Borussia Mönchengladbach
Joelinton,Joelinton Apolinário de Lira,Brazil,Newcastle United
Daniel Podence,Daniel Castelo Podence,Portugal,Olympiacos CFP
G. Dzhikiya,Georgiy Dzhikiya,Russia,Spartak Moscow
Aarón Martín,Aarón Martín Caricol,Spain,1. FSV Mainz 05
E. Bardhi,Enis Bardhi,FYR Macedonia,Levante UD
N. Maksimović,Nemanja Maksimović,Serbia,Getafe CF
Calero,Fernando Calero Villa,Spain,RCD Espanyol
J. Butland,Jack Butland,England,Stoke City
Óliver Torres,Óliver Torres Muñoz,Spain,Sevilla FC
G. Laborde,Gaëtan  Laborde,France,Montpellier HSC
R. De Paul,Rodrigo Javier De Paul,Argentina,Udinese
D. Selke,Davie Selke,Germany,Hertha BSC
M. Lemina,Mario Lemina,Gabon,Southampton
D. Origi,Divock Origi,Belgium,Liverpool
E. Pulgar,Erick Pulgar,Chile,Fiorentina
A. Miranchuk,Aleksey Miranchuk,Russia,Lokomotiv Moscow
W. Barrios,Wílmar Enrique Barrios Terán,Colombia,Colombia
J. Musso,Juan Musso,Argentina,Udinese
Rúben Vezo,Rúben Miguel Nunes Vezo,Portugal,Levante UD
B. Santamaria,Baptiste Santamaria,France,Angers SCO
Y. Mina,Yerry Mina,Colombia,Everton
Joan Jordán,Joan Jordán Moreno,Spain,Sevilla FC
L. Tousart,Lucas Tousart,France,Olympique Lyonnais
Y. Yazıcı,Yusuf Yazıcı,Turkey,LOSC Lille
M. Gregoritsch,Michael Gregoritsch,Austria,FC Augsburg
J. Lascelles,Jamaal Lascelles,England,Newcastle United
T. Vilhena,Tonny Emilio Trindade de Vilhena,Netherlands,Netherlands
Denis Suárez,Denis Suárez Fernández,Spain,RC Celta
K. Rekik,Karim Rekik,Netherlands,Hertha BSC
B. Traoré,Bertrand Traoré,Burkina Faso,Olympique Lyonnais
I. Amadou,Ibrahim Amadou,France,Norwich City
M. Meyer,Max  Meyer,Germany,Crystal Palace
José Sá,José Pedro Malheiro de Sá,Portugal,Olympiacos CFP
A. Selikhov,Alexandr Selikhov,Russia,Spartak Moscow
A. Mitrović,Aleksandar Mitrović,Serbia,Fulham
G. Maripán,Guillermo Alfonso Maripán Loaysa,Chile,Deportivo Alavés
E. Skhiri,Ellyes Skhiri,Tunisia,1. FC Köln
D. Dumfries,Denzel Dumfries,Netherlands,PSV
Bruno Viana,Bruno Viana Willemen Da Silva,Brazil,SC Braga
M. Sels,Matz Sels,Belgium,RC Strasbourg Alsace
A. Soumaoro,Adama Soumaoro,France,LOSC Lille
J. Veretout,Jordan Veretout,France,Roma
V. Fischer,Viktor Fischer,Denmark,FC København
S. Meïté,Soualiho Meïté,France,Torino
J. Boëtius,Jean-Paul Boëtius,Netherlands,1. FSV Mainz 05
D. Berardi,Domenico Berardi,Italy,Sassuolo
R. Gagliardini,Roberto Gagliardini,Italy,Inter
R. Saravia,Renzo Saravia,Argentina,FC Porto
Ayoze Pérez,Ayoze Pérez Gutiérrez,Spain,Leicester City
H. Hateboer,Hans Hateboer,Netherlands,Atalanta
B. Verbič,Benjamin Verbič,Slovenia,Dynamo Kyiv
G. Martínez,Gonzalo Nicolás Martínez,Argentina,Atlanta United
Rafael Tolói,Rafael Tolói,Brazil,Atalanta
S. Duffy,Shane Duffy,Republic of Ireland,Brighton & Hove Albion
F. Lejeune,Florian Lejeune,France,Newcastle United
L. Dunk,Lewis Dunk,England,Brighton & Hove Albion
Pedro Mendes,Pedro Filipe Teodósio Mendes,Portugal,Montpellier HSC
Fernando,Fernando Lucas Martins,Brazil,Beijing Sinobo Guoan FC
K. Fortounis,Konstantinos Fortounis,Greece,Olympiacos CFP
C. Hérelle,Christophe Hérelle,France,OGC Nice
Omar Mascarell,Omar Mascarell González,Spain,FC Schalke 04
Bruma,Armindo Tué Na Bangna,Portugal,PSV
S. Deli,Simon Deli,Ivory Coast,Club Brugge KV
M. Ngadeu,Michael Ngadeu,Cameroon,KAA Gent
V. Wanyama,Victor Wanyama,Kenya,Tottenham Hotspur
C. Kabasele,Christian Kabasele,Belgium,Watford
A. Delort,Andy Delort,Algeria,Montpellier HSC
Joel Robles,Joel Robles Blázquez,Spain,Real Betis
Sérgio Oliveira,Sérgio Miguel Relvas de Oliveira,Portugal,FC Porto
V. Aboubakar,Vincent Paté Aboubakar,Cameroon,FC Porto
M. Uth,Mark Uth,Germany,FC Schalke 04
M. Doherty,Matt Doherty,Republic of Ireland,Wolverhampton Wanderers
David López,David López Silva,Spain,RCD Espanyol
R. Freuler,Remo Freuler,Switzerland,Atalanta
D. Demme,Diego Demme,Germany,RB Leipzig
A. Schwolow,Alexander Schwolow,Germany,SC Freiburg
J. Vestergaard,Jannik Vestergaard,Denmark,Southampton
F. Mollet,Florent Mollet,France,Montpellier HSC
J. Hofmann,Jonas Hofmann,Germany,Borussia Mönchengladbach
V. Grifo,Vincenzo Grifo,Italy,TSG 1899 Hoffenheim
F. Tait,Flavien Tait,France,Stade Rennais FC
D. Laxalt,Diego Laxalt,Uruguay,Milan
N. Maksimović,Nikola Maksimović,Serbia,Napoli
Capa,Ander Capa Rodríguez,Spain,Athletic Club de Bilbao
Bastos,Bartolomeu Jacinto Quissanga,Angola,Lazio
M. Diagne,Mbaye Diagne,Senegal,Galatasaray SK
G. Ochoa,Francisco Guillermo Ochoa Magaña,Mexico,Club América
C. Tévez,Carlos Alberto Tevez,Argentina,Boca Juniors
J. Sosa,José Ernesto Sosa,Argentina,Trabzonspor
Raffael,Raffael Caetano de Araújo,Brazil,Borussia Mönchengladbach
Andrés Fernández,Andrés Eduardo Fernández Moreno,Spain,Villarreal CF
